YEAR,MONTH_NUM,MONTH_MON,ENTRY_DATE,ENTITY_NAME,ENTITY_TYPE,TYPE_MODEL,DIST_FLOWN_KM,DIST_DIRECT_KM,DIST_ACHIEVED_KM
2026,1,JAN,2026-01-01,UK-Ireland FAB,FAB (FIR),SFR,1775175,1737142.6600000001,1698584.37
2026,1,JAN,2026-01-02,Albania,State (FIR),CPF,130799,130267.66,127767.81
2026,1,JAN,2026-01-02,Albania,State (FIR),FTFM,134562,133679.21,129653.1
2026,1,JAN,2026-01-02,Albania,State (FIR),SFR,124785,124006.13,120227.89
2026,1,JAN,2026-01-02,Armenia,State (FIR),CPF,47168,46785.840000000004,44771.85
2026,1,JAN,2026-01-02,Armenia,State (FIR),FTFM,46420,46085.61,43977.63
2026,1,JAN,2026-01-02,Armenia,State (FIR),SFR,45409,45022.91,43353.69
2026,1,JAN,2026-01-02,Austria,State (FIR),CPF,749517,748251.13,735837.6900000001
2026,1,JAN,2026-01-02,Austria,State (FIR),FTFM,752905,749909.54,732778.09
2026,1,JAN,2026-01-02,Austria,State (FIR),SFR,724994,722619.73,706991.12
2026,1,JAN,2026-01-02,BLUE MED FAB,FAB (FIR),CPF,3845760,3815299.69,3756053.4699999997
2026,1,JAN,2026-01-02,BLUE MED FAB,FAB (FIR),FTFM,3851241,3796432.66,3722847.8
2026,1,JAN,2026-01-02,BLUE MED FAB,FAB (FIR),SFR,3781350,3730691.85,3660457
2026,1,JAN,2026-01-02,Baltic FAB,FAB (FIR),CPF,736054,730784.28,699089.41
2026,1,JAN,2026-01-02,Baltic FAB,FAB (FIR),FTFM,752915,739491.09,699662.49
2026,1,JAN,2026-01-02,Baltic FAB,FAB (FIR),SFR,724106,712470.4500000001,676177.37
2026,1,JAN,2026-01-02,Belgium,State (FIR),CPF,417653,416227.85000000003,406419.75
2026,1,JAN,2026-01-02,Belgium,State (FIR),FTFM,453672,447343.92,430337.31
2026,1,JAN,2026-01-02,Belgium,State (FIR),SFR,460178,454615.27,438502.36
2026,1,JAN,2026-01-02,Bosnia and Herzegovina,State (FIR),CPF,312497,312273.81,308933.66000000003
2026,1,JAN,2026-01-02,Bosnia and Herzegovina,State (FIR),FTFM,317706,317326.66000000003,313156.34
2026,1,JAN,2026-01-02,Bosnia and Herzegovina,State (FIR),SFR,303721,303453.4,299465.95
2026,1,JAN,2026-01-02,Bulgaria,State (FIR),CPF,778174,776704.34,755835
2026,1,JAN,2026-01-02,Bulgaria,State (FIR),FTFM,766517,763807.86,740517.62
2026,1,JAN,2026-01-02,Bulgaria,State (FIR),SFR,719258,716932.92,695443.52
2026,1,JAN,2026-01-02,Croatia,State (FIR),CPF,521497,520874.96,514907.41000000003
2026,1,JAN,2026-01-02,Croatia,State (FIR),FTFM,517976,517192.87,509709.26
2026,1,JAN,2026-01-02,Croatia,State (FIR),SFR,500433,499926.25,492950.97000000003
2026,1,JAN,2026-01-02,Cyprus,State (FIR),CPF,368722,366364.61,355814.9
2026,1,JAN,2026-01-02,Cyprus,State (FIR),FTFM,366494,361447.14,350780.58
2026,1,JAN,2026-01-02,Cyprus,State (FIR),SFR,349907,345247.66000000003,335359.03
2026,1,JAN,2026-01-02,Czech Republic,State (FIR),CPF,389703,388797.34,380919.06
2026,1,JAN,2026-01-02,Czech Republic,State (FIR),FTFM,389121,387041.10000000003,376295.60000000003
2026,1,JAN,2026-01-02,Czech Republic,State (FIR),SFR,376335,374535.32,364599.01
2026,1,JAN,2026-01-02,DANUBE FAB,FAB (FIR),CPF,1722134,1717596.01,1667928.4500000002
2026,1,JAN,2026-01-02,DANUBE FAB,FAB (FIR),FTFM,1705742,1698228.65,1643426.6600000001
2026,1,JAN,2026-01-02,DANUBE FAB,FAB (FIR),SFR,1602782,1596192.76,1545445.17
2026,1,JAN,2026-01-02,DK-SE FAB,FAB (FIR),CPF,810423,806564.54,797099.3
2026,1,JAN,2026-01-02,DK-SE FAB,FAB (FIR),FTFM,813192,807592.51,793782.14
2026,1,JAN,2026-01-02,DK-SE FAB,FAB (FIR),SFR,799604,794355.49,782245.65
